WP5	country
70	Afghanistan
83	Albania
84	Algeria
85	Andorra
56	Angola
86	Antigua & Barbuda
87	Argentina
88	Armenia
47	Australia
89	Austria
90	Azerbaijan
91	Bahamas
92	Bahrain
11	Bangladesh
93	Barbados
71	Belarus
16	Belgium
94	Belize
42	Benin
95	Bhutan
96	Bolivia
97	Bosnia and Herzegovina
57	Botswana
33	Brazil
98	Brunei
99	Bulgaria
78	Burkina Faso
100	Burundi
52	Cambodia
79	Cameroon
46	Canada
101	Cape Verde
102	Central African Republic
103	Chad
104	Chile
30	China
105	Colombia
106	Comoros
107	Congo (Kinshasa)
108	Congo Brazzaville
82	Costa Rica
109	Croatia
110	Cuba
111	Cyprus
21	Czech Republic
25	Denmark
112	Djibouti
113	Dominica
114	Dominican Republic
115	Ecuador
2	Egypt
116	El Salvador
117	Equatorial Guinea
118	Eritrea
119	Estonia
60	Ethiopia
120	Fiji
121	Finland
13	France
122	Gabon
72	Georgia
14	Germany
40	Ghana
24	Greece
123	Grenada
124	Guatemala
125	Guinea
126	Guinea-Bissau
127	Guyana
128	Haiti
58	hold
59	hold
129	Honduras
27	Hong Kong
20	Hungary
130	Iceland
31	India
10	Indonesia
26	Iran
131	Iraq
132	Ireland
133	Island Nations (11)
38	Israel
18	Italy
134	Ivory Coast
135	Jamaica
29	Japan
6	Jordan
73	Kazakhstan
36	Kenya
136	Kiribati
198	Kosovo
137	Kuwait
74	Kyrgyzstan
53	Laos
138	Latvia
4	Lebanon
139	Lesotho
140	Liberia
141	Libya
142	Lichtenstein
143	Lithuania
144	Luxembourg
206	Macau
145	Macedonia
43	Madagascar
44	Malawi
146	Malaysia
147	Maldives
61	Mali
148	Malta
149	Marshall Islands
62	Mauritania
150	Mauritius
34	Mexico
151	Micronesia
75	Moldova
152	Monaco
153	Mongolia
154	Montenegro
3	Morocco
63	Mozambique
54	Myanmar
203	Nagorno-Karabakh Republic
155	Namibia
156	Nauru
157	Nepal
15	Netherlands
55	New Zealand
158	Nicaragua
64	Niger
35	Nigeria
159	North Korea
202	Northern Cyprus
160	Norway
161	Oman
9	Pakistan
162	Palau
39	Palestinian Territories
163	Panama
204	Papua New Guinea
164	Paraguay
165	Peru
48	Philippines
19	Poland
166	Portugal
167	Puerto Rico
168	Qatar
207	Reunion Island
22	Romania
76	Russia
65	Rwanda
169	Saint Lucia
170	Samoa
171	San Marino
172	Sao Tome & Principe
5	Saudi Arabia
66	Senegal
173	Serbia
174	Seychelles
80	Sierra Leone
28	Singapore
175	Slovakia
176	Slovenia
177	Solomon Islands
178	Somalia
199	Somaliland region
45	South Africa
68	South Korea
205	South Sudan
17	Spain
49	Sri Lanka
179	St. Kitts & Nevis
180	St. Vincent & Grenadines
181	Sudan
182	Suriname
183	Swaziland
23	Sweden
184	Switzerland
7	Syria
69	Taiwan
185	Tajikistan
37	Tanzania
51	Thailand
186	The Gambia
201	Timor Leste
187	Togo
188	Tonga
189	Trinidad & Tobago
190	Tunisia
8	Turkey
191	Turkmenistan
192	Tuvalu
41	Uganda
77	Ukraine
193	United Arab Emirates
12	United Kingdom
1	United States
194	Uruguay
200	US Hispanic
195	Uzbekistan
196	Vanuatu
32	Venezuela
50	Vietnam
197	Yemen
67	Zambia
81	Zimbabwe
900	African Country
901	Arab Country
902	Other Islamic Country
903	Other Country
907	None
997	(None)
998	(DK)
999	(Refused)
